Sn,Task Name,Activity Type,Planned Start,Planned Finish
4544, Condenser: Lower dome walls (4 sides) welding COMPLETION.,ERC,2024-12-28,2025-02-05
4545, Condenser: Lowering of dome stiffening structure  levelling & welding.,ERC,2025-02-06,2025-02-20
4546, Condenser: Cond. Tubing / Tube insertion.,ERC,2025-02-08,2025-03-24
4547, Condenser: TUBE EXPANSION.,ERC,2025-02-23,2025-04-08
4548, Condenser: Pre-assembly of Upper dome walls.,ERC,2025-02-06,2025-03-02
4549, Condenser: Ern. Of upper dome wall (front & rear).,ERC,2025-03-05,2025-03-14
4550, Condenser: Laying Temp. line for filling water in steam space.,ERC,2025-04-11,2025-04-20
4551, Condenser: LEAK TEST (SHELL SIDE),ERC,2025-04-09,2025-04-13
4552, Condenser: Sand blasting and W. box/W. Chamber painting .,ERC,2025-04-14,2025-05-08
4553, Condenser: Sand blasting and painting of water chambers.,ERC,2025-04-24,2025-05-18
4554, Chamber of water box and tightening of bolts.,ERC,2025-05-19,2025-06-12
4555, Condenser: Hydro TEST (C.W.SIDE).,ERC,2025-06-16,2025-06-25
4556, Condenser: FLOATING & NECK WELDING.,ERC,2025-06-28,2025-07-17
4557, Condenser: C.W. Piping (A row to cond.) & R.E Joints.,ERC,2025-05-09,2025-07-22
4558, Condenser: Extraction Piping inside Condenser.,ERC,2025-06-26,2025-08-09
4559, Condenser: Dome stiffening piping (upper dome) & welding.,ERC,2025-07-23,2025-08-11
4560, Condenser: Assy. Of Stand Pipes  all fittings & other instruments.,ERC,2025-08-12,2025-08-26
4561, Condenser: C.W. CHARGING.,ERC,2025-08-30,2025-09-08
4562, Condenser: Measurement of spring height & grouting.,ERC,2025-09-09,2025-09-13
4563, Condenser: Scraps cuttings  grindings. / finishings,ERC,2025-09-14,2025-09-18
4564,Erection of Vacuum Pump with associated piping,ERC,2025-07-23,2025-11-09
4565,Erection of Gland Steam Condenser and associated piping,ERC,2025-07-23,2025-11-09
4566,Erection of Flash tank  Flash box  drain cooler & G.S.C.,ERC,2025-08-12,2025-11-09
4567,Other Misc. Piping like Control fluid  Drain & vent piping  Instrument & Service air etc.,ERC,2025-08-12,2025-11-09
4568,Power Cycle Pumps,ERC,2022-09-27,2026-02-10
4569,Turbine Driven Boiler Feed Pump & Booster Pump,ERC,2022-09-27,2026-02-10
4570,Civil,CIV,2024-10-17,2025-02-07
4571,First TDBFP Foundation,CIV,2024-10-17,2025-01-12
4572,Columns & piping  Instrument & Welding Work,ERC,2024-10-17,2024-11-15
4573,Platform For TDBFP Foundation,CIV,2024-11-16,2024-12-13
4574,RCC Foundation Casting work,CIV,2024-12-14,2025-01-12
4575,Second TDBFP Foundation,CIV,2024-11-12,2025-02-07
4576, Columns & piping  Instrument & Welding Work,CIV,2024-11-12,2024-12-11
4577, Platform For TDBFP Foundation,CIV,2024-12-12,2025-01-08
4578, RCC Foundation Casting work,CIV,2025-01-09,2025-02-07
4579,Supply,SUP,2022-09-27,2024-10-19
4580,HYD- TURBINE DRIVEN BOOSTER PUMP,SUP,2022-09-27,2024-10-19
4581,Engineering & PROCUREMENT,ENG,2022-09-27,2023-12-25
4582,Manufacturing,MFG,2023-12-26,2024-06-02
4583,ASSEMBLY & TESTING,MFG,2024-06-03,2024-09-19
4584,Dispatch OF TDBP AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19
4585,HYD- TURBINE DRIVEN BOILER FEED PUMP,SUP,2022-09-27,2024-10-19
4586,Engineering & PROCUREMENT,ENG,2022-09-27,2023-12-25
4587,Manufacturing,MFG,2023-12-26,2024-06-02
4588,ASSEMBLY & TESTING,MFG,2024-06-03,2024-09-19
4589,Dispatch OF TDBFP AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19
4590,HYD- BFP DRIVE TURBINE,SUP,2022-09-27,2024-10-19
4591,Engineering & PROCUREMENT,ENG,2022-09-27,2023-12-25
4592,Manufacturing,MFG,2023-12-26,2024-06-02
4593,ASSEMBLY & TESTING,MFG,2024-06-03,2024-09-19
4594,Dispatch OF DRIVE TURBINE AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19
4595,HYD- BFP DT LUB OIL SYSTEM,SUP,2022-09-27,2024-10-19
4596,Engineering & PROCUREMENT,ENG,2022-09-27,2023-12-25
4597,Manufacturing,MFG,2023-12-26,2024-06-02
4598,ASSEMBLY & TESTING,MFG,2024-06-03,2024-09-19
4599,Dispatch OF LUBE OIL SYSTEM AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19
4600,Erection,ERC,2025-02-10,2026-02-10
4601,First TURBINE DRIVEN BFP,ERC,2025-02-10,2026-01-15
4602,Foundation checking and correction,CIV,2025-02-10,2025-02-15
4603,Placement of sole plates and grouting,ERC,2025-02-16,2025-02-25
4604,Placement of turbine assembly on the sole plates and alignment,ERC,2025-02-26,2025-03-22
4605,Erection of inlet and exhaust piping,ERC,2025-03-23,2025-04-03
4606,Erection of gland sealing system and connecting piping,ERC,2025-04-04,2025-04-23
4607,Erection and grouting of governing system and control valves,ERC,2025-04-24,2025-05-13
4608,Placement and alignment of booster pump and gearbox,ERC,2025-05-14,2025-05-28
4609,Placement of BFP,ERC,2025-05-29,2025-06-12
4610,Grouting of all equipments,ERC,2025-06-13,2025-07-12
4611,Erection and fit ups of inlet and exhaust of BP and BFP,ERC,2025-07-13,2025-08-05
4612,Erection of oil tanks  filters  collars and grouting,ERC,2025-08-06,2025-08-29
4613,Erection of AOP  JOP  EOP and alignment,ERC,2025-08-30,2025-09-23
4614,Lube oil piping and governing oil piping,ERC,2025-09-24,2025-12-22
4615,Seal water and cooling water piping,ERC,2025-12-23,2026-01-15
4616,Second TURBINE DRIVEN BFP,ERC,2025-03-08,2026-02-10
4617,Foundation checking and correction,CIV,2025-03-08,2025-03-13
4618,Placement of sole plates and grouting,ERC,2025-03-14,2025-03-23
4619,Placement of turbine assembly on the sole plates and alignment,ERC,2025-03-24,2025-04-17
4620,Erection of inlet and exhaust piping,ERC,2025-04-18,2025-04-29
4621,Erection of gland sealing system and connecting piping,ERC,2025-04-30,2025-05-19
4622,Erection and grouting of governing system and control valves,ERC,2025-05-20,2025-06-08
4623,Placement and alignment of booster pump and gearbox,ERC,2025-06-09,2025-06-23
4624,Placement of BFP,ERC,2025-06-24,2025-07-08
4625,Grouting of all equipments,ERC,2025-07-09,2025-08-07
4626,Erection and fit ups of inlet and exhaust of BP and BFP,ERC,2025-08-08,2025-08-31
4627,Erection of oil tanks  filters  collars and grouting,ERC,2025-09-01,2025-09-24
4628,Erection of AOP  JOP  EOP and alignment,ERC,2025-09-25,2025-10-19
4629,Lube oil piping and governing oil piping,ERC,2025-10-20,2026-01-17
4630,Seal water and cooling water piping,ERC,2026-01-18,2026-02-10
4631,Motor Driven Boiler Feed Pumps and Booster Pumps,ERC,2022-09-27,2025-06-04
4632,Civil,CIV,2024-11-02,2025-01-07
4633,MDBFP Foundation,CIV,2024-11-02,2025-01-07
4634,Columns & governing & Welding Work,CIV,2024-11-02,2024-11-16
4635,Platform For MDBFP Foundation,CIV,2024-11-17,2024-12-08
4636,RCC Foundation Casting work,CIV,2024-12-09,2025-01-07
4637,Supply,SUP,2022-09-27,2025-01-14
4638,HYD - MOTOR DRIVEN BOOSTER PUMP,SUP,2022-09-27,2024-08-31
4639,Engineering & PROCUREMENT,ENG,2022-09-27,2023-12-25
4640,Manufacturing,MFG,2023-12-26,2024-06-02
4641,ASSEMBLY & TESTING,MFG,2024-04-15,2024-08-01
4642,Dispatch OF MDBP AND ALL ASSOCIATED ITEMS,DIS,2024-08-02,2024-08-31
4643,HYD - MOTOR DRIVEN BOILER FEED PUMP,SUP,2022-09-27,2024-08-31
4644,Engineering & PROCUREMENT,ENG,2022-09-27,2023-12-25
4645,Manufacturing,MFG,2023-12-26,2024-06-02
4646,ASSEMBLY & TESTING,MFG,2024-04-15,2024-08-01
4647,Dispatch OF MDBFP AND ALL ASSOCIATED ITEMS,DIS,2024-08-02,2024-08-31
4648,BPL - BFP Motor,SUP,2023-07-27,2025-01-14
4649,Engineering  INDENTING AND PROCUREMENT ,ENG,2023-07-27,2024-05-09
4650,Manufacturing & TESTING ,MFG,2024-05-10,2024-12-15
4651,Dispatch,DIS,2024-12-16,2025-01-14
4652,Erection,ERC,2025-02-05,2025-06-04
4653,Foundation checking and correction,CIV,2025-02-05,2025-02-10
4654,Placement and alignment of booster pump and motor,ERC,2025-02-11,2025-02-16
4655,Placement and alignment of coupling and BFP,ERC,2025-02-17,2025-02-22
4656,Bolting of equipments and grouting,ERC,2025-02-23,2025-03-06
4657,Erection of oil pumps and grouting,ERC,2025-03-07,2025-03-22
4658,Erection of oil tanks and centrifuge,ERC,2025-03-23,2025-04-07
4659,Erection of LO and WO coolers,ERC,2025-04-08,2025-04-17
4660,Lube oil and working oil piping,ERC,2025-04-18,2025-05-03
4661,Seal water and colling water piping,ERC,2025-05-04,2025-05-19
4662,Erection of discharge and suction piping and valves,ERC,2025-05-20,2025-06-04
4663,Condensate Extraction Pump,ERC,2022-09-27,2025-11-03
4664,Civil,CIV,2023-10-13,2024-08-05
4665,CEP FOUNDATION: Excavation & PCC,CIV,2023-10-13,2023-12-05
4666,CEP FOUNDATION: RCC Raft,CIV,2023-12-12,2024-02-29
4667,CEP FOUNDATION: RCC Circular Wall,CIV,2024-03-08,2024-07-05
4668,CEP FOUNDATION: Finishing works,CIV,2024-07-06,2024-08-05
4669,Supply,SUP,2022-09-27,2025-03-22
4670,HYD -Condensate EXTRACT PUMP,SUP,2022-09-27,2024-10-19
4671,Engineering & PROCUREMENT,ENG,2022-09-27,2023-12-25
4672,Manufacturing,MFG,2023-12-26,2024-06-02
4673,ASSEMBLY & TESTING,OTH,2024-06-03,2024-09-19
4674,Dispatch OF CEP AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19
4675,HYD - DRIP PUMP,SUP,2022-09-27,2024-10-19
4676,Engineering & PROCUREMENT,ENG,2022-09-27,2023-12-25
4677,Manufacturing,MFG,2023-12-26,2024-06-02
4678,ASSEMBLY & TESTING,OTH,2024-06-03,2024-09-19
4679,Dispatch OF DRIP PUMP AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19
4680,BPL - CEP Motor,SUP,2023-06-26,2025-03-22
4681,Engineering  INDENTING AND PROCUREMENT ,ENG,2023-06-26,2024-03-23
4682,Manufacturing & TESTING ,MFG,2024-03-24,2025-01-21
4683,Dispatch ,DIS,2025-01-22,2025-02-20
4684,RECEIPT AT SITE ,REC,2025-02-21,2025-03-22
4685,Erection,ERC,2024-08-06,2025-11-03
4686,Checking and correction of foundations/ pit inspection,ERC,2024-08-06,2024-08-20
4687,Placement of frame  cannister,ERC,2024-11-09,2024-12-23
4688,Erection and alignment of main pump assembly,ERC,2024-12-24,2025-02-06
4689,Maintaining the verticality and alignment of pump with cannister,ERC,2025-02-07,2025-03-08
4690,Assembly of bearings and filling oil,ERC,2025-03-09,2025-04-22
4691,Fit up of the suction and discharge piping pieces,ERC,2025-04-23,2025-06-06
4692,releasing the pump on the suction and discharge piping,ERC,2025-06-07,2025-07-01
4693,Fixing of coupling and placement of motor,ERC,2025-07-02,2025-07-26
4694,Erection of cooling water and seal water piping,ERC,2025-07-27,2025-09-09
4695,Mechanical Cleaning of suction and discharge piping,ERC,2025-09-10,2025-10-09
4696,piping hangers values calibrated,ERC,2025-10-10,2025-11-03
4697,Misc. Horizontal Pump,ERC,2023-08-03,2025-10-23
4698,Civil,CIV,2024-10-06,2025-05-26
4699, Boiler Fill Pump & Hot well Make up Pump Foundation,CIV,2024-10-06,2024-12-03
4700, Boiler Fill Pump & Hot well Make up Pump Foundation: EXCAVATION,CIV,2024-10-06,2024-10-15
4701, Boiler Fill Pump & Hot well Make up Pump Foundation: RCC in substructure including PCC,CIV,2024-10-16,2024-10-30
4702, Boiler Fill Pump & Hot well Make up Pump Foundation: RCC in superstructure,CIV,2024-10-31,2024-11-24
4703, Boiler Fill Pump & Hot well Make up Pump Foundation: Backfilling,CIV,2024-11-25,2024-11-30
4704, Boiler Fill Pump & Hot well Make up Pump Foundation: Finishing works,CIV,2024-12-01,2024-12-03
4705, SG DMCW Pump foundation,CIV,2024-12-15,2025-03-15
4706, SG DMCW Pump foundation: EXCAVATION,CIV,2024-12-15,2025-01-03
4707, SG DMCW Pump foundation: RCC in substructure including PCC,CIV,2025-01-04,2025-01-28
4708, SG DMCW Pump foundation: RCC in superstructure,CIV,2025-01-29,2025-03-04
4709, SG DMCW Pump foundation: Backfilling,CIV,2025-03-05,2025-03-11
4710, SG DMCW Pump foundation: Finishing works,CIV,2025-03-12,2025-03-15
4711, TG DMCW Pump foundation: EXCAVATION,CIV,2024-12-15,2025-05-26
4712, TG DMCW Pump foundation: RCC in substructure including PCC,CIV,2024-12-15,2025-01-08
4713, TG DMCW Pump foundation: RCC in superstructure,CIV,2025-01-09,2025-02-12
4714, TG DMCW Pump foundation: Backfilling,CIV,2025-02-13,2025-02-19
4715, TG DMCW Pump foundation: Finishing works,CIV,2025-02-20,2025-05-26
4716, ACW Pump foundation: EXCAVATION,CIV,2024-12-15,2025-05-26
4717, ACW Pump foundation: RCC in substructure including PCC,CIV,2024-12-15,2025-01-08
4718, ACW Pump foundation:  RCC in superstructure,CIV,2025-01-09,2025-02-12
4719, ACW Pump foundation:  Backfilling,CIV,2025-02-13,2025-02-19
4720, ACW Pump foundation:  Finishing works,CIV,2025-02-20,2025-05-26
4721,Supply (BHEL PEM),SUP,2023-08-03,2024-09-25
4722,Ordering,ORD,2023-08-03,2023-10-31
4723,Detailed Engineering,ENG,2023-11-01,2024-03-29
4724,Manufacturing,MFG,2024-03-30,2024-08-26
4725,Dispatch,DIS,2024-08-27,2024-09-25
4726,Erection,ERC,2024-12-04,2025-10-23
4727,Erection of Boiler Fill Pump & Associated piping,ERC,2024-12-04,2025-02-01
4728,Erection of Hotwell make up Pump and Associated Piping,ERC,2024-12-04,2025-02-01
4729,Erection of SG DMCW pump & Associated Piping,ERC,2025-03-26,2025-08-07
4730,Erection of TG DMCW Pump & Associated Piping,ERC,2025-05-27,2025-09-28
4731,Erection of  ACW Pump & Associated Piping ,ERC,2025-05-27,2025-10-23
4732,HP/LP Heaters & Deaerator,SUP,2022-09-27,2025-05-26
4733,HP Heaters,SUP,2022-09-27,2025-05-01
4734,Civil,CIV,2025-02-26,2025-03-21
4735, HP Heaters Footing: RCC,CIV,2025-02-26,2025-03-11
4736, HP Heaters Pedestals with pockets,CIV,2025-03-12,2025-03-21
4737,Supply,SUP,2022-09-27,2024-10-19
4738,HYD - HP Heaters,SUP,2022-09-27,2024-10-19
4739,ENGINEERING & PROCUREMENT,ENG,2022-09-27,2023-12-25
4740,MANUFACTURING,MFG,2023-12-26,2024-06-02
4741,ASSEMBLY& TESTING,MFG,2024-06-03,2024-09-19
4742,Dispatch OF HP HEATER AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19
4743,Erection,ERC,2025-04-12,2025-05-01
4744,Placement & alignment of HP Heaters,ERC,2025-04-12,2025-05-01
4745,LP Heaters,SUP,2022-09-27,2025-05-26
4746, Civil,CIV,2025-02-12,2025-03-07
4747,LP Heaters Footing: RCC,CIV,2025-02-12,2025-02-25
4748, LP Heaters Pedestals with pockets,CIV,2025-02-26,2025-03-07
4749,Supply,SUP,2022-09-27,2024-10-19
4750, HYD - LP Heaters,SUP,2022-09-27,2024-10-19
4751,ENGINEERING & PROCUREMENT,ENG,2022-09-27,2023-12-25
4752,MANUFACTURING,MFG,2023-12-26,2024-06-02
4753,ASSEMBLY& TESTING,MFG,2024-06-03,2024-09-19
4754,Dispatch OF LP HEATER AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19
4755,Erection,ERC,2025-05-02,2025-05-26
4756, Placement & alignment of LP Heaters,ERC,2025-05-02,2025-05-26
4757,Deaerator,SUP,2022-09-27,2024-12-28
4758, Civil,CIV,2024-08-16,2024-09-09
4759,Deaerator Footing: RCC,CIV,2024-08-16,2024-08-30
4760,Deaerator Pedestals with pockets & insert,CIV,2024-08-31,2024-09-09
4761,Supply,SUP,2022-09-27,2024-10-19
4762, HYD - Deaerator,SUP,2022-09-27,2024-10-19
4763,ENGINEERING & PROCUREMENT,ENG,2022-09-27,2023-12-25
4764,MANUFACTURING,MFG,2023-12-26,2024-06-02
4765,ASSEMBLY& TESTING,MFG,2024-06-03,2024-09-19
4766,Dispatch OF DEAERATOR AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19
4767, HYD - Drain Cooler,SUP,2022-09-27,2024-10-19
4768,ENGINEERING & PROCUREMENT,ENG,2022-09-27,2023-12-25
4769,MANUFACTURING,MFG,2023-12-26,2024-06-02
4770,ASSEMBLY& TESTING,MFG,2024-06-03,2024-09-19
4771,Dispatch OF DRAIN COOLER AND ALL ASSOCIATED ITEMS,DIS,2024-09-20,2024-10-19
4772,Erection,ERC,2024-10-20,2024-12-28
4773,Lifting and placement of De-aerator and Feed Storage Tank with fittings and associated platform,ERC,2024-10-20,2024-11-03
4774,Welding of FST shells,ERC,2024-11-04,2024-12-18
4775,Erection of drain cooler,ERC,2024-12-19,2024-12-28
4776,Dosing System,SUP,2023-08-23,2026-01-05
4777,Chemical Dosing System,SUP,2023-08-23,2025-11-26
4778,Civil,CIV,2025-03-07,2025-04-10
4779,EXCAVATION,CIV,2025-03-07,2025-03-11
4780,RCC in substructure including PCC,CIV,2025-03-12,2025-03-21
4781,RCC in superstructure,CIV,2025-03-22,2025-03-31
4782,Backfilling,CIV,2025-04-01,2025-04-05
4783,Finishing works,CIV,2025-04-06,2025-04-10
4784,Supply (BHEL PEM),SUP,2023-08-23,2024-11-04
4785,Ordering,ORD,2023-08-23,2023-11-20
4786,Detailed Engineering,ENG,2023-11-21,2024-04-18
4787,Manufacturing,MFG,2024-04-19,2024-10-05
4788,Dispatch,DIS,2024-10-06,2024-11-04
4789,Erection,ERC,2025-05-01,2025-11-26
4790,Erection of Chemical Dosing Skids & Associated Piping,ERC,2025-05-01,2025-09-27
4791,Electrical   C&I and Commissioning,COM,2025-09-28,2025-11-26
4792,Oxygen Dosing System,SUP,2023-08-23,2026-01-05
4793,Civil,CIV,2025-04-16,2025-05-20
4794,EXCAVATION,CIV,2025-04-16,2025-04-20
4795,RCC in substructure including PCC,CIV,2025-04-21,2025-04-30
4796,RCC in superstructure,CIV,2025-05-01,2025-05-10
4797,Backfilling,CIV,2025-05-11,2025-05-15
4798,Finishing works,CIV,2025-05-16,2025-05-20
4799,Supply (BHEL PEM),SUP,2023-08-23,2024-10-30
4800,Ordering,ORD,2023-08-23,2023-11-20
4801,Detailed Engineering,ENG,2023-11-21,2024-04-18
4802,Manufacturing,MFG,2024-04-19,2024-09-15
4803,Dispatch,DIS,2024-09-16,2024-10-30
4804,Erection,ERC,2025-06-10,2026-01-05
4805,Erection of Oxygen Dosing Skids & Associated Piping,ERC,2025-06-10,2025-11-06
4806,Electrical   C&I and Commissioning,COM,2025-11-07,2026-01-05
4807,PLATE HEAT EXCHANGERS,SUP,2023-10-12,2025-03-29
4808,Civil,CIV,2024-12-04,2025-02-11
4809, SG PHE foundation,CIV,2024-12-04,2025-01-07
4810,RCC Pedestal,CIV,2024-12-04,2025-01-02
4811,Finishing works,CIV,2025-01-03,2025-01-07
4812, TG PHE foundation:,CIV,2025-01-08,2025-02-11
4813,RCC Pedestal,CIV,2025-01-08,2025-02-06
4814,Finishing works,CIV,2025-02-07,2025-02-11
4815,Supply (BHEL PEM),SUP,2023-10-12,2024-10-05
4816,Ordering,ORD,2023-10-12,2024-01-09
4817,Detailed Engineering,ENG,2024-01-10,2024-05-08
4818,Manufacturing,MFG,2024-05-09,2024-09-05
4819,Dispatch,DIS,2024-09-06,2024-10-05
4820,Erection,ERC,2025-01-29,2025-03-29
4821,SG PHE Erection,ERC,2025-01-29,2025-02-27
4822,TG Perfection,ERC,2025-02-28,2025-03-29
4823,Auxiliary PRDS,OTH,2023-10-12,2025-09-15
4824,Supply BOI-PEM,SUP,2023-10-12,2024-12-19
4825,Ordering,ORD,2023-10-12,2024-01-09
4826,Detailed Engineering,ENG,2024-01-10,2024-06-07
4827,Manufacturing,MFG,2024-06-08,2024-11-04
4828,Dispatch,DIS,2024-11-05,2024-12-19
4829,Erection,ERC,2025-03-20,2025-09-15
4830,Erection of Aux PRDS ,ERC,2025-03-20,2025-09-15
4831,Online Condenser Tube Cleaning System,ORD,2024-04-25,2026-02-20
4832,Supply  BHEL PEM,SUP,2024-04-25,2025-04-04
4833, COLTCS ,SUP,2024-04-25,2025-04-04
4834,Ordering,ORD,2024-04-25,2024-07-23
4835,Detailed Engineering,ENG,2024-07-24,2024-11-20
4836,Manufacturing,MFG,2024-10-26,2024-10-27
4837,Dispatch,DIS,2025-03-05,2025-04-04
4838,Erection,ERC,2025-06-26,2026-02-20
4839,Erection of COLTCS,ERC,2025-06-26,2025-11-22
4840,Erection of Conical strainer,ERC,2025-07-26,2025-12-22
4841,Electrical   C&I work and Commissioning,COM,2025-12-23,2026-02-20
4842,Piping & Valves,SUP,2022-09-27,2026-02-02
4843,Supply,SUP,2022-09-27,2025-05-30
4844,BHEL PC (PG 80 & 81),SUP,2022-09-27,2025-05-30
4845,For Non Drainable HT,SUP,2023-01-25,2024-11-27
4846,Engineering COMPLETION,ENG,2023-01-25,2023-06-03
4847,COMPLETION OF DDR,ENG,2023-06-04,2023-08-22
4848,MS FROM SUPERHEATER TO BOILER STOP VALVE (PGMA-80300),SUP,2023-08-23,2024-11-27
4849,Manufacturing,MFG,2023-08-23,2024-10-13
4850,Dispatch,DIS,2024-10-14,2024-11-27
4851,H AND S FOR Hydro TEST - (PGMA 80920),SUP,2023-08-23,2024-11-27
4852,Manufacturing,MFG,2023-08-23,2024-10-13
4853,Dispatch,DIS,2024-10-14,2024-11-27
4854,IMPORTED ELECTRODES- (PGMA -80-992),SUP,2023-08-23,2024-11-27
4855,Manufacturing,MFG,2023-08-23,2024-10-13
4856,Dispatch,DIS,2024-10-14,2024-11-27
4857,Misc. Erection MATLS- (PGMA -80-993),SUP,2023-08-23,2024-11-27
4858,Manufacturing,MFG,2023-08-23,2024-10-13
4859,Dispatch,DIS,2024-10-14,2024-11-27
4860,For BLU,SUP,2022-09-27,2025-01-30
4861,Engineering,ENG,2022-09-27,2023-07-08
4862,COMPLETION of DDR,ENG,2023-03-11,2023-10-24
4863,AUX STEAM HEADER- (PGMA -80-340),OTH,2023-04-28,2024-11-30
4864,Manufacturing,MFG,2023-04-28,2024-10-16
4865,Dispatch,DIS,2024-10-17,2024-11-30
4866,80341 AUX STEAM HEADER INTERCONN. BET UNITS,SUP,2023-04-28,2024-11-30
4867,Manufacturing,MFG,2023-04-28,2024-10-16
4868,Dispatch,DIS,2024-10-17,2024-11-30
4869, NON DDR - FLOW NOZZLE- (PGMA -80-326),SUP,2023-04-28,2024-11-30
4870,Manufacturing,MFG,2023-04-28,2024-10-16
4871,Dispatch,DIS,2024-10-17,2024-11-30
4872,AUX STEAM TO SCAPH- (PGMA -80-342),SUP,2023-04-28,2024-11-30
4873,Manufacturing,MFG,2023-04-28,2024-10-16
4874,Dispatch,DIS,2024-10-17,2024-11-30
4875,AUX STEAM TO AH SOOT BLOWERS- (PGMA -80-343),SUP,2023-04-28,2024-11-30
4876,Manufacturing,MFG,2023-04-28,2024-10-16
4877,Dispatch,DIS,2024-10-17,2024-11-30
4878,AUX STEAM TO DEAERATING HEATER- (PGMA -80-345),SUP,2023-04-28,2024-11-30
4879,Manufacturing,MFG,2023-04-28,2024-10-16
4880,Dispatch,DIS,2024-10-17,2024-11-30
4881,AUX STEAM HEADER SV EXHAUST- (PGMA -80-373),SUP,2023-04-28,2024-11-30
4882,Manufacturing,MFG,2023-04-28,2024-10-16
4883,Dispatch,DIS,2024-10-17,2024-11-30
4884,CONDENSATE SUCTION- (PGMA -80-400),SUP,2023-04-28,2024-09-29
4885,Manufacturing,MFG,2023-04-28,2024-08-15
4886,Dispatch,DIS,2024-08-16,2024-09-29
4887,CD FROM PUMP TO LPH1/DC INLET TEE AND RE- (PGMA -80-401),SUP,2023-04-28,2024-09-29
4888,Manufacturing,MFG,2023-04-28,2024-08-15
4889,Dispatch,DIS,2024-08-16,2024-09-29
4890,CD FROM LPH1/DC INLET TEE TO TG TP- (PGMA -80-402),SUP,2023-04-28,2024-09-29
4891,Manufacturing,MFG,2023-04-28,2024-08-15
4892,Dispatch,DIS,2024-08-16,2024-09-29
4893,CD FROM TG TP TO DEAERATING HEATER- (PGMA -80-403),SUP,2023-04-28,2024-09-29
4894,Manufacturing,MFG,2023-04-28,2024-08-15
4895,Dispatch,DIS,2024-08-16,2024-09-29
4896,CONDENSATE FOR SEALING OF VACUUM- (PGMA -80-407),SUP,2023-04-28,2024-09-29
4897,Manufacturing,MFG,2023-04-28,2024-08-15
4898,Dispatch,DIS,2024-08-16,2024-09-29
4899,CONDENSATE DUMP FROM HEADER- (PGMA -80-408),SUP,2023-04-28,2024-09-29
4900,Manufacturing,MFG,2023-04-28,2024-08-15
4901,Dispatch,DIS,2024-08-16,2024-09-29
4902,CONDENSATE TRANSFER- (PGMA -80-412),SUP,2023-04-28,2024-11-30
4903,Manufacturing,MFG,2023-04-28,2024-10-16
4904,Dispatch,DIS,2024-10-17,2024-11-30
4905,ERECTION MATERIALS FOR INSTRUMENTS- (PGMA -80-418),SUP,2023-04-28,2024-11-30
4906,Manufacturing,MFG,2023-04-28,2024-10-16
4907,Dispatch,DIS,2024-10-17,2024-11-30
4908,DEAERATOR SAFETY VALVE EXHAUST TO ATM- (PGMA -80-419),SUP,2023-04-28,2024-11-30
4909,Manufacturing,MFG,2023-04-28,2024-10-16
4910,Dispatch,DIS,2024-10-17,2024-11-30
4911,BOILER FEED PUMP SUCTION- (PGMA -80-420),SUP,2023-04-28,2024-08-30
4912,Manufacturing,MFG,2023-04-28,2024-07-16
4913,Dispatch,DIS,2024-07-17,2024-08-30
4914,BOILER FEED PUMP RECIRCULATION- (PGMA -80-421),SUP,2023-04-28,2024-08-30
4915,Manufacturing,MFG,2023-04-28,2024-07-16
4916,Dispatch,DIS,2024-07-17,2024-08-30
4917,BOILER FEED PUMP TO HPH INCLUDING BYPASS- (PGMA -80-423),SUP,2023-04-28,2024-08-30
4918,Manufacturing,MFG,2023-04-28,2024-07-16
4919,Dispatch,DIS,2024-07-17,2024-08-30
4920,BFD BETWEEN HTRS AND GROUP PROTECTION- (PGMA -80-424),SUP,2023-04-28,2024-08-30
4921,Manufacturing,MFG,2023-04-28,2024-07-16
4922,Dispatch,DIS,2024-07-17,2024-08-30
4923,BFD FROM FINAL HPH TO SG TP- (PGMA -80-425),SUP,2023-04-28,2024-08-30
4924,Manufacturing,MFG,2023-04-28,2024-07-16
4925,Dispatch,DIS,2024-07-17,2024-08-30
4926,SPRAY WATER TO HPBP- (PGMA -80-430),SUP,2023-04-28,2024-11-30
4927,Manufacturing,MFG,2023-04-28,2024-10-16
4928,Dispatch,DIS,2024-10-17,2024-11-30
4929,UNLISTED SPRAY WATER - SG SCOPE- (PGMA -80-434),SUP,2023-04-28,2024-11-30
4930,Manufacturing,MFG,2023-04-28,2024-10-16
4931,Dispatch,DIS,2024-10-17,2024-11-30
4932,SPRAY WATER FROM BFP INTERSTAGE- (PGMA -80-433),SUP,2023-04-28,2024-11-30
4933,Manufacturing,MFG,2023-04-28,2024-10-16
4934,Dispatch,DIS,2024-10-17,2024-11-30
4935,DEAERATING HEATER OVER FLOW AND DRAIN- (PGMA -80-446),SUP,2023-04-28,2024-11-30
4936,Manufacturing,MFG,2023-04-28,2024-10-16
4937,Dispatch,DIS,2024-10-17,2024-11-30
